VEHICLE_ID,YEAR,MAKE,MODEL
4031587,2014,SUBARU,FORESTER 2.0XT PREM. VDC
4031588,2016,SUBARU,FORESTER W/ EYESIGHT 2.0XT TOURING VDC
4031632,2015,SUBARU,WRX
4031727,2015,SUBARU,WRX PREM.
4031736,2016,SUBARU,WRX PREM.
4031892,2016,SUBARU,WRX LTD
4031946,2016,SUBARU,WRX WITH EYESIGHT LTD
4032035,2015,SUBARU,WRX STI LTD
4032041,2018,SUBARU,WRX STI LTD NAVI
4032067,2015,SUBARU,WRX STI LAUNCH EDITION
4032076,2016,SUBARU,WRX STI LTD
4032090,2016,SUBARU,WRX STI LTD NAVI
4032178,2013,SUBARU,BRZ 2.0 PREM.
4032197,2014,SUBARU,BRZ 2.0 PREM.
4032198,2015,SUBARU,BRZ 2.0 PREM.
4032199,2016,SUBARU,BRZ 2.0 PREM.
4032200,2017,SUBARU,BRZ 2.0 PREM.
4032201,2018,SUBARU,BRZ 2.0 PREM.
4032221,2013,SUBARU,BRZ 2.0 LTD
4032252,2014,SUBARU,BRZ 2.0 LTD
4032253,2015,SUBARU,BRZ 2.0 LTD/SERIES.BLUE
4032254,2016,SUBARU,BRZ 2.0 LTD/SERIES.HYPERBLUE
4032255,2017,SUBARU,BRZ 2.0 LTD/SERIES.YELLOW
4032256,2018,SUBARU,BRZ 2.0 LTD
4032300,2018,SUBARU,BRZ TS
4032547,2010,SUBARU,FORESTER 2.5XT LTD NAVI VDC
4032620,2013,SUBARU,FORESTER 2.5X TOUR VDC
4032663,2011,SUBARU,FORESTER 2.5XT PREM. VDC
4032664,2012,SUBARU,FORESTER 2.5XT PREM. VDC
4032665,2013,SUBARU,FORESTER 2.5XT PREM. VDC
4032667,2012,SUBARU,FORESTER 2.5XT TOUR VDC
4032668,2013,SUBARU,FORESTER 2.5XT TOUR VDC
4032771,2016,SUBARU,FORESTER W/ EYESIGHT 2.5I PREM VDC
4032779,2014,SUBARU,FORESTER 2.5I PREM. VDC NAVI
4032811,2014,SUBARU,FORESTER 2.5I LTD VDC NAVI
4032817,2017,SUBARU,FORESTER 2.5I LTD VDC NAVI
4032819,2014,SUBARU,FORESTER 2.5I TOUR VDC
4032822,2014,SUBARU,FORESTER W/ EYESIGHT 2.5I TOURING VDC N
4032851,2015,SUBARU,FORESTER W/ EYESIGHT 2.5I TOURING VDC N
4032858,2014,SUBARU,FORESTER 2.0XT PREM. VDC
4032859,2015,SUBARU,FORESTER 2.0XT PREM. VDC
4032860,2016,SUBARU,FORESTER 2.0XT PREM. VDC
4032862,2014,SUBARU,FORESTER 2.0XT TOUR VDC
4032864,2014,SUBARU,FORESTER W/ EYESIGHT 2.0XT TOURING VDC
4032868,2016,SUBARU,FORESTER 2.0XT TOUR VDC
4032873,2015,SUBARU,FORESTER W/ EYESIGHT 2.0XT TOURING VDC
4032940,2014,SUBARU,IMPREZA 2.0I LTD VDC NAVI
4039334,2015,SUBARU,XV CRSSTRK 2.0I VDC
4039335,2016,SUBARU,CROSSTREK 2.0I VDC
4039343,2017,SUBARU,CROSSTREK 2.0I VDC
4039412,2014,SUBARU,XV CROSSTREK 2.0I PREM. VDC
4039596,2016,SUBARU,CROSSTREK W/ EYESIGHT 2.0I PREM VDC
4039614,2017,SUBARU,CROSSTREK W/ EYESIGHT 2.0I PREMIUM VDC
4039645,2015,SUBARU,XV CROSSTREK W/ EYESIGHT 2.0I PREMIUM V
4039687,2013,SUBARU,XV CROSSTREK 2.0I LTD VDC
4039688,2014,SUBARU,XV CROSSTREK 2.0I LTD VDC
