,VEHICLE_ID,CREDIT_SCORE,MALE,FEMALE,AGE
13557,7342650,730.5384615384615,7,6,47.0
13558,7347350,848.1666666666666,3,3,38.833333333333336
13559,7352996,772.6129032258065,17,14,42.74193548387097
13560,7355793,795.0,1,3,32.0
13561,7370947,837.8,4,1,39.0
13562,7371010,755.6470588235294,6,11,46.705882352941174
13563,7386543,763.5714285714286,6,1,34.857142857142854
13564,7398078,776.0833333333334,5,7,39.166666666666664
13565,7400853,748.8625,48,32,39.35
13566,7401459,710.0,3,2,12.8
13567,7402441,856.0,3,1,38.0
13568,7403231,814.6666666666666,3,3,33.333333333333336
13569,7405238,815.5,2,2,35.75
13570,7408807,811.0,1,1,66.0
13571,7416801,788.03125,25,7,48.1875
13572,7417412,743.5333333333333,51,54,40.17142857142857
13573,7417897,722.6470588235294,13,4,49.64705882352941
13574,7418147,792.6,12,3,60.266666666666666
13575,7426389,798.4117647058823,9,8,38.411764705882355
13576,7426693,847.0,1,1,41.5
13577,7426961,811.0,2,1,34.0
13578,7427875,710.0,1,1,36.5
13579,7427952,711.9,12,8,40.85
13580,7433668,767.5,2,2,44.5
13581,7434902,837.8,3,2,63.0
13582,7435962,804.125,10,6,36.1875
13583,7443398,834.0,6,7,46.69230769230769
13584,7444500,738.1846153846154,30,35,34.353846153846156
13585,7453355,786.0,1,2,39.0
13586,7455071,722.0588235294117,6,11,36.64705882352941
13587,7458706,814.6190476190476,31,32,41.20634920634921
13588,7459046,776.0833333333334,5,7,44.916666666666664
13589,7460010,847.0,1,1,66.0
13590,7465464,814.44,11,14,50.04
13591,7466162,826.125,3,5,36.5
13592,7468361,738.9178571428571,120,160,43.989285714285714
13593,7474633,817.0,5,1,65.5
13594,7475308,835.0,1,5,50.0
13595,7479832,809.4285714285714,9,12,49.61904761904762
13596,7484411,769.0,1,2,45.666666666666664
13597,7485458,838.6363636363636,5,6,56.81818181818182
13598,7487797,789.9642857142857,16,12,45.035714285714285
13599,7488367,732.8,2,3,41.4
13600,7491211,806.4305555555555,27,45,45.708333333333336
13601,7492447,543.2,2,3,54.0
13602,7492616,811.0,1,1,28.0
13603,7495015,726.6,3,2,31.2
13604,7495787,715.4375,21,27,41.25
13605,7499264,760.5,2,2,40.0
